Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Segment,Days since last purchase
19,other,High,Single,Bachelor's,High,Food & Beverages,395.01,2,Mixed,1,2,2.0,Medium,Very Sensitive,0,6,Medium,Desktop,Credit Card,True,False,Wants-based,Standard,3,other,399
41,Male,Middle,Married,Bachelor's,High,Electronics,371.19,10,Mixed,1,2,2.0,High,Somewhat Sensitive,1,8,Medium,Desktop,Credit Card,False,False,Planned,Express,1,Solid customer,268
33,Female,Middle,Married,Master's,High,Electronics,193.76,10,Mixed,4,3,1.0,Medium,Not Sensitive,0,2,Low,Desktop,Debit Card,False,False,Wants-based,No Preference,12,other,474
43,Male,Middle,Divorced,Master's,High,Baby Products,424.27,6,Online,1,4,2.0,,Not Sensitive,2,8,Low,Tablet,Cash,True,True,Planned,Standard,12,Solid customer,249
38,Male,High,Single,Bachelor's,High,Jewelry & Accessories,496.11,2,Mixed,2,3,1.0,High,Somewhat Sensitive,2,8,High,Smartphone,PayPal,True,False,Impulsive,Standard,12,Regular,348
41,Male,High,Widowed,Bachelor's,Middle,Baby Products,341.91,3,Online,4,4,0.0,Low,Not Sensitive,1,9,,Tablet,Cash,False,False,Impulsive,Express,7,other,356
40,Male,High,Married,Master's,High,Gardening & Outdoors,127.66,11,Online,1,2,2.0,Low,Not Sensitive,2,7,,Smartphone,Credit Card,False,True,Planned,Standard,7,At risk,454
47,other,Middle,Single,Bachelor's,Middle,Software & Apps,227.47,2,Online,2,2,2.0,Low,Very Sensitive,1,4,High,Tablet,Other,True,False,Need-based,Express,9,other,204
35,Male,High,Widowed,Bachelor's,High,Health Supplements,342.99,3,In-Store,4,2,2.0,Low,Very Sensitive,0,6,Medium,Smartphone,Other,False,True,Impulsive,Express,6,other,181
49,other,High,Married,Master's,Middle,Packages),306.48,5,Mixed,1,3,0.0,Medium,Very Sensitive,0,9,Low,Tablet,Credit Card,False,True,Need-based,Standard,14,other,249
22,Male,Middle,Divorced,Master's,High,Home Appliances,308.54,3,Mixed,1,3,0.0,High,Not Sensitive,1,5,High,Desktop,Credit Card,False,True,Wants-based,Standard,7,other,235
49,Male,High,Single,Master's,Middle,Travel & Leisure (Flights,124.17,12,Mixed,5,2,2.0,High,Very Sensitive,2,4,High,Smartphone,Debit Card,True,True,Planned,Standard,6,Regular,187
27,Female,Middle,Married,Master's,Middle,Travel & Leisure (Flights,78.0,5,Online,1,5,0.0,,Not Sensitive,1,1,Low,Desktop,Debit Card,True,False,Wants-based,No Preference,11,other,194
27,Female,High,Married,Bachelor's,Middle,Health Care,393.03,4,Mixed,4,4,0.0,High,Somewhat Sensitive,1,3,Medium,Smartphone,Cash,True,True,Planned,Standard,7,Regular,261
37,Female,High,Single,Master's,Middle,Hotels,102.09,3,Mixed,1,4,0.0,,Very Sensitive,1,9,Medium,Tablet,PayPal,False,True,Need-based,Express,1,other,435
32,Male,Middle,Married,Bachelor's,High,Health Care,426.21,3,Mixed,1,4,2.0,High,Somewhat Sensitive,2,5,High,Smartphone,Other,False,True,Wants-based,Standard,2,At risk,399
42,Male,Middle,Widowed,Master's,High,Arts & Crafts,140.31,2,Online,2,4,1.0,Low,Very Sensitive,2,5,,Desktop,Cash,True,True,Impulsive,Express,8,other,366
18,Female,High,Widowed,Master's,Middle,Software & Apps,413.7,8,Mixed,3,3,0.3,Low,Very Sensitive,0,9,High,Desktop,Other,False,True,Need-based,No Preference,6,Solid customer,339
49,Male,High,Widowed,Master's,Middle,Arts & Crafts,348.63,4,Online,5,2,0.0,High,Somewhat Sensitive,0,7,,Smartphone,Debit Card,False,False,Planned,No Preference,6,At risk,416
23,Female,Middle,Widowed,High School,Middle,Animal Feed,91.27,7,In-Store,5,1,0.0,High,Not Sensitive,2,6,,Tablet,Cash,True,True,Planned,Express,13,other,335
29,Female,High,Divorced,Bachelor's,High,Luxury Goods,359.94,11,Mixed,2,5,2.0,,Very Sensitive,1,8,Low,Smartphone,Cash,False,True,Wants-based,Express,9,Solid customer,154
25,Male,Middle,Divorced,High School,Middle,Gardening & Outdoors,138.2,8,In-Store,1,2,2.0,High,Not Sensitive,0,6,Low,Desktop,Debit Card,False,True,Need-based,No Preference,12,other,446
38,other,High,Divorced,High School,High,Home Appliances,196.33,11,Online,4,3,1.0,Medium,Not Sensitive,0,5,,Desktop,Debit Card,True,True,Planned,Standard,11,other,327
32,Female,Middle,Widowed,Bachelor's,Middle,Packages),249.24,8,In-Store,4,3,1.0,Medium,Somewhat Sensitive,2,3,High,Smartphone,Cash,False,True,Need-based,Standard,7,other,266
45,Male,High,Divorced,High School,High,Furniture,129.1,12,Mixed,5,3,2.0,Low,Not Sensitive,0,8,High,Desktop,Credit Card,True,False,Planned,No Preference,7,At risk,402
45,Female,High,Married,Master's,High,Baby Products,112.69,10,In-Store,1,4,0.0,High,Not Sensitive,0,7,Medium,Smartphone,Debit Card,False,True,Need-based,Standard,1,Regular,268
46,Male,Middle,Widowed,Bachelor's,High,Beauty & Personal Care,267.85,5,Online,5,2,2.0,Medium,Somewhat Sensitive,1,5,High,Smartphone,Credit Card,False,True,Need-based,Standard,7,other,428
24,Male,Middle,Divorced,High School,Middle,Home Appliances,205.36,12,Online,1,5,2.0,High,Very Sensitive,0,1,Low,Tablet,Credit Card,False,False,Impulsive,Express,5,other,390
48,other,High,Divorced,Master's,High,Health Supplements,79.1,10,In-Store,5,3,1.0,,Not Sensitive,0,9,Medium,Tablet,Debit Card,True,False,Need-based,Express,4,At risk,382
35,Male,High,Widowed,High School,Middle,Health Care,256.63,12,In-Store,1,4,0.0,High,Somewhat Sensitive,2,2,,Smartphone,Debit Card,True,True,Impulsive,Standard,10,Solid customer,340
50,Female,High,Divorced,High School,Middle,Books,409.98,12,Mixed,5,4,0.0,,Not Sensitive,2,1,Medium,Desktop,PayPal,True,False,Wants-based,Express,8,Solid customer,219
34,Male,Middle,Widowed,High School,High,Sports & Outdoors,291.6,2,In-Store,3,3,2.0,High,Somewhat Sensitive,0,7,,Desktop,Cash,False,True,Need-based,Standard,3,other,294
50,Female,Middle,Single,Bachelor's,Middle,Home Appliances,101.7,7,Online,3,4,2.0,Medium,Not Sensitive,2,2,,Tablet,Debit Card,False,True,Wants-based,Standard,4,other,331
50,Female,Middle,Single,High School,Middle,Health Care,369.73,2,Online,1,2,2.0,,Not Sensitive,0,3,,Tablet,Debit Card,True,True,Wants-based,No Preference,12,other,473
46,Male,Middle,Single,Bachelor's,High,Baby Products,71.0,12,Online,1,5,2.0,High,Not Sensitive,2,9,Low,Smartphone,Cash,False,False,Wants-based,No Preference,13,Regular,330
47,Male,Middle,Single,Master's,Middle,Packages),280.05,10,In-Store,4,1,2.0,Medium,Very Sensitive,1,2,High,Smartphone,Credit Card,True,False,Wants-based,No Preference,11,Solid customer,320
35,Male,High,Widowed,Master's,Middle,Jewelry & Accessories,54.71,4,Mixed,5,2,1.0,Low,Very Sensitive,1,3,,Desktop,PayPal,True,True,Need-based,Express,3,other,208
27,Male,High,Widowed,Bachelor's,Middle,Packages),119.51,11,Mixed,5,5,2.0,Low,Very Sensitive,2,8,Low,Desktop,PayPal,False,False,Planned,No Preference,1,At risk,380
37,Female,High,Single,Master's,High,Arts & Crafts,57.5,12,Online,5,1,1.0,,Not Sensitive,0,3,,Desktop,Cash,True,True,Impulsive,No Preference,13,Regular,165
38,Female,High,Married,Bachelor's,High,Books,225.05,5,Mixed,2,1,1.0,High,Somewhat Sensitive,1,1,Low,Desktop,Credit Card,False,False,Need-based,No Preference,10,other,329
41,Female,High,Divorced,High School,High,Food & Beverages,441.15,7,Online,3,1,1.0,Low,Somewhat Sensitive,1,1,,Smartphone,Debit Card,False,False,Need-based,No Preference,8,Solid customer,264
48,Male,Middle,Divorced,High School,Middle,Animal Feed,481.21,3,Mixed,1,2,1.0,High,Not Sensitive,0,1,,Desktop,Credit Card,False,False,Wants-based,No Preference,11,Regular,190
48,Female,High,Married,Bachelor's,Middle,Arts & Crafts,102.96,3,Mixed,1,1,1.0,Low,Very Sensitive,0,7,Low,Desktop,PayPal,False,True,Wants-based,Standard,4,other,154
45,Female,High,Divorced,Bachelor's,High,Electronics,331.57,11,Mixed,3,1,0.0,Low,Somewhat Sensitive,1,6,Medium,Desktop,Debit Card,False,False,Impulsive,Express,14,Can't lose,381
26,other,Middle,Widowed,High School,Middle,Electronics,101.29,11,In-Store,1,1,2.0,Medium,Not Sensitive,2,7,Medium,Smartphone,Cash,False,True,Need-based,No Preference,4,Regular,204
50,Female,Middle,Single,Master's,High,Packages),143.52,9,In-Store,2,5,1.0,Medium,Somewhat Sensitive,2,3,,Tablet,Credit Card,True,False,Impulsive,Express,12,At risk,406
39,Male,Middle,Widowed,Bachelor's,Middle,Sports & Outdoors,276.48,3,Mixed,1,2,1.0,,Somewhat Sensitive,0,4,Low,Desktop,Cash,False,False,Need-based,Express,7,other,382
20,Male,High,Widowed,High School,High,Toys & Games,352.87,11,In-Store,5,3,0.0,High,Not Sensitive,0,6,High,Tablet,PayPal,False,False,Wants-based,Standard,12,Can't lose,458
48,Male,Middle,Married,Master's,Middle,Mobile Accessories,228.68,3,Mixed,2,1,2.0,Low,Very Sensitive,1,4,,Tablet,Debit Card,True,False,Planned,Standard,4,other,225
31,Female,Middle,Divorced,Master's,High,Food & Beverages,301.39,6,Online,2,1,0.0,,Very Sensitive,1,4,Low,Desktop,Debit Card,False,False,Need-based,No Preference,11,At risk,396
25,Female,Middle,Married,Bachelor's,High,Books,473.5,11,Mixed,2,4,1.0,Low,Somewhat Sensitive,2,3,High,Tablet,Other,False,True,Impulsive,Express,10,Solid customer,302
18,other,Middle,Single,Bachelor's,High,Home Appliances,72.8,11,In-Store,2,4,1.0,High,Somewhat Sensitive,2,10,High,Desktop,PayPal,True,False,Need-based,Express,3,Regular,275
18,Male,Middle,Divorced,Bachelor's,High,Packages),171.72,3,Online,5,3,1.0,Low,Very Sensitive,1,2,,Desktop,PayPal,False,True,Impulsive,Standard,12,other,424
31,Male,Middle,Widowed,High School,Middle,Software & Apps,467.5,6,In-Store,2,1,0.0,,Somewhat Sensitive,1,1,High,Desktop,PayPal,False,False,Planned,No Preference,6,Can't lose,413
43,other,High,Married,Bachelor's,High,Furniture,209.79,6,Mixed,5,1,2.0,High,Not Sensitive,1,9,Low,Tablet,Other,True,True,Need-based,Standard,10,other,251
23,Male,Middle,Single,High School,Middle,Office Supplies,150.33,9,In-Store,4,4,2.0,,Somewhat Sensitive,2,9,Medium,Desktop,Debit Card,True,False,Wants-based,Express,6,At risk,393
29,Male,High,Married,Bachelor's,High,Luxury Goods,98.63,7,Online,4,5,2.0,High,Somewhat Sensitive,1,3,Low,Tablet,Other,False,True,Planned,Standard,6,other,499
21,Female,Middle,Divorced,Master's,Middle,Beauty & Personal Care,193.3,11,Mixed,4,2,2.0,,Very Sensitive,2,1,Medium,Tablet,Other,True,True,Planned,No Preference,12,other,353
49,Female,Middle,Single,High School,Middle,Luxury Goods,145.02,7,In-Store,3,2,0.0,High,Very Sensitive,1,1,Medium,Desktop,Credit Card,True,True,Wants-based,Express,9,other,333
30,Female,Middle,Divorced,Master's,Middle,Health Supplements,294.99,4,Online,3,5,2.0,Low,Somewhat Sensitive,1,4,High,Desktop,PayPal,False,False,Need-based,Standard,5,other,173
31,other,Middle,Divorced,High School,Middle,Office Supplies,305.45,2,Mixed,5,5,1.0,,Very Sensitive,1,1,High,Smartphone,PayPal,False,True,Impulsive,Express,9,other,210
50,Female,Middle,Widowed,High School,Middle,Toys & Games,432.42,2,In-Store,4,4,0.0,Medium,Not Sensitive,0,8,,Tablet,PayPal,False,True,Need-based,Express,13,At risk,396
35,Female,Middle,Single,Bachelor's,High,Gardening & Outdoors,227.58,11,Mixed,3,1,1.0,,Not Sensitive,1,8,High,Smartphone,Credit Card,False,True,Need-based,Express,6,Can't lose,485
36,Male,Middle,Single,High School,High,Toys & Games,160.89,10,Online,5,5,2.0,,Somewhat Sensitive,2,6,Medium,Desktop,PayPal,True,True,Planned,No Preference,13,other,333
24,Female,Middle,Married,Master's,High,Luxury Goods,139.1,7,Online,2,5,0.0,Low,Somewhat Sensitive,2,3,Medium,Desktop,PayPal,False,False,Impulsive,No Preference,8,other,428
36,other,High,Married,Master's,Middle,Furniture,268.28,9,Mixed,5,2,2.0,High,Very Sensitive,2,2,High,Smartphone,Credit Card,False,True,Need-based,Standard,8,other,408
45,Female,Middle,Single,Master's,High,Sports & Outdoors,64.49,6,Online,2,1,0.0,,Very Sensitive,1,10,,Tablet,Other,False,False,Planned,Express,7,other,215
44,Male,Middle,Widowed,High School,Middle,Arts & Crafts,80.17,10,Online,1,1,1.0,High,Not Sensitive,1,8,,Tablet,Credit Card,True,True,Planned,No Preference,6,At risk,377
28,Male,High,Married,Master's,High,Groceries,277.52,11,In-Store,4,1,0.0,,Not Sensitive,1,7,Medium,Smartphone,PayPal,True,False,Need-based,Standard,11,Can't lose,373
40,Male,High,Widowed,Master's,Middle,Health Supplements,53.67,7,Online,3,5,1.0,High,Not Sensitive,0,2,High,Desktop,PayPal,False,False,Planned,Express,11,other,404
49,Female,Middle,Widowed,Bachelor's,High,Office Supplies,323.39,10,In-Store,2,3,2.0,,Very Sensitive,0,7,High,Tablet,Cash,True,True,Need-based,No Preference,11,Can't lose,504
50,Female,High,Single,Bachelor's,High,Sports & Outdoors,98.02,5,In-Store,3,3,1.0,Low,Not Sensitive,0,3,High,Desktop,Debit Card,True,False,Planned,No Preference,10,other,326
24,Male,High,Divorced,Bachelor's,High,Travel & Leisure (Flights,231.26,10,In-Store,5,1,2.0,Low,Very Sensitive,2,5,Low,Desktop,Cash,False,True,Impulsive,No Preference,10,Can't lose,387
26,Male,High,Single,Master's,Middle,Food & Beverages,382.49,6,In-Store,4,2,2.0,,Very Sensitive,2,3,Medium,Tablet,Debit Card,True,False,Impulsive,No Preference,1,other,476
28,Male,Middle,Divorced,Master's,High,Travel & Leisure (Flights,255.42,9,Mixed,5,5,2.0,,Somewhat Sensitive,1,9,,Tablet,PayPal,True,True,Impulsive,Standard,11,other,325
48,Female,Middle,Single,High School,High,Toys & Games,423.23,12,In-Store,3,3,2.0,High,Somewhat Sensitive,0,7,Low,Tablet,Debit Card,False,False,Planned,Standard,6,Top customer,198
47,Male,Middle,Single,High School,High,Beauty & Personal Care,276.08,4,Mixed,4,5,0.3,High,Somewhat Sensitive,2,10,Low,Smartphone,Credit Card,False,True,Need-based,No Preference,10,other,479
25,Male,Middle,Widowed,Bachelor's,Middle,Books,333.56,3,Mixed,4,5,1.0,Low,Not Sensitive,2,2,High,Smartphone,Other,True,True,Impulsive,No Preference,14,other,209
39,Male,High,Divorced,Bachelor's,Middle,Groceries,129.82,12,Mixed,1,2,0.0,High,Not Sensitive,2,1,High,Tablet,Cash,False,False,Impulsive,Standard,8,Regular,353
41,Female,High,Widowed,High School,High,Clothing,278.78,3,Mixed,5,2,0.0,Medium,Not Sensitive,0,1,Low,Desktop,Credit Card,True,False,Wants-based,Standard,2,other,342
37,Male,Middle,Married,Bachelor's,High,Gardening & Outdoors,112.55,5,In-Store,1,4,2.0,,Very Sensitive,2,1,Low,Desktop,Credit Card,True,False,Planned,Standard,2,other,212
50,Female,Middle,Divorced,Bachelor's,High,Toys & Games,142.02,7,In-Store,1,5,0.0,Low,Very Sensitive,1,9,Medium,Desktop,Cash,True,False,Impulsive,Standard,3,other,317
33,Female,High,Widowed,High School,High,Packages),481.84,10,In-Store,1,4,2.0,High,Somewhat Sensitive,1,1,Medium,Tablet,Cash,False,False,Wants-based,Express,9,Solid customer,281
50,other,High,Divorced,Master's,Middle,Packages),165.01,10,Mixed,1,2,1.0,Medium,Somewhat Sensitive,1,5,Medium,Desktop,PayPal,True,False,Impulsive,No Preference,10,other,400
25,Male,Middle,Divorced,High School,Middle,Baby Products,56.85,5,Online,2,1,2.0,,Very Sensitive,0,1,High,Smartphone,Cash,True,False,Wants-based,Standard,14,other,187
34,other,High,Single,Bachelor's,High,Hotels,182.89,2,Mixed,5,3,1.0,Low,Not Sensitive,1,9,Low,Smartphone,PayPal,False,False,Wants-based,Express,5,other,283
39,Male,High,Widowed,High School,High,Books,373.01,5,In-Store,5,5,1.0,Low,Somewhat Sensitive,1,4,Medium,Smartphone,PayPal,False,True,Impulsive,Express,8,Regular,299
41,Male,Middle,Single,Master's,Middle,Home Appliances,220.77,7,Online,4,2,2.0,Low,Not Sensitive,2,1,,Smartphone,Debit Card,True,True,Need-based,Standard,11,other,402
27,Male,Middle,Married,Master's,High,Hotels,291.09,11,Online,2,2,2.0,,Somewhat Sensitive,0,9,High,Smartphone,PayPal,True,False,Need-based,No Preference,1,Solid customer,228
23,other,High,Married,Bachelor's,Middle,Software & Apps,414.06,9,Mixed,1,4,2.0,Medium,Somewhat Sensitive,2,4,High,Desktop,PayPal,True,False,Planned,Express,2,Solid customer,177
37,Male,Middle,Widowed,Bachelor's,Middle,Animal Feed,408.51,9,Online,2,1,2.0,High,Very Sensitive,0,7,Medium,Smartphone,Credit Card,True,False,Wants-based,Express,1,Can't lose,361
21,Male,Middle,Married,High School,High,Furniture,103.4,9,In-Store,4,1,2.0,High,Not Sensitive,1,9,Medium,Smartphone,Debit Card,True,False,Planned,Standard,9,other,199
47,Male,Middle,Single,High School,High,Furniture,67.92,3,In-Store,1,3,0.0,Low,Not Sensitive,1,8,Low,Tablet,Cash,False,True,Impulsive,Express,10,other,216
42,other,Middle,Single,High School,Middle,Health Supplements,354.16,8,In-Store,1,1,1.0,Low,Not Sensitive,2,3,Low,Desktop,Credit Card,True,False,Planned,Express,5,Solid customer,343
30,Male,Middle,Widowed,Bachelor's,Middle,Books,276.77,2,Mixed,1,1,2.0,Low,Very Sensitive,1,2,High,Smartphone,Cash,True,True,Wants-based,No Preference,4,other,445
49,Male,Middle,Single,High School,Middle,Health Care,190.25,6,Mixed,4,2,2.0,,Very Sensitive,2,9,,Tablet,PayPal,False,False,Planned,Express,13,other,353
28,Female,Middle,Married,Master's,Middle,Animal Feed,203.49,7,In-Store,4,1,2.0,Medium,Not Sensitive,1,8,High,Tablet,Cash,False,True,Need-based,Express,11,other,285
24,Male,Middle,Single,High School,High,Health Supplements,263.5,6,Mixed,3,2,2.0,,Not Sensitive,0,8,Low,Tablet,Debit Card,False,False,Planned,Standard,1,Regular,185
40,Female,High,Divorced,Bachelor's,Middle,Arts & Crafts,247.3,2,In-Store,4,4,2.0,Low,Very Sensitive,0,1,Medium,Desktop,Credit Card,True,True,Wants-based,No Preference,11,other,469
18,Male,High,Married,Bachelor's,Middle,Toys & Games,50.71,12,Online,4,3,0.3,,Not Sensitive,0,9,Medium,Smartphone,Debit Card,True,True,Wants-based,No Preference,8,At risk,431
42,Male,High,Married,High School,Middle,Office Supplies,131.85,4,Mixed,5,4,2.0,Low,Somewhat Sensitive,1,5,Medium,Smartphone,Debit Card,True,False,Need-based,No Preference,6,other,504
19,Male,High,Married,Master's,High,Beauty & Personal Care,459.39,6,Mixed,2,2,0.3,Low,Very Sensitive,2,4,High,Tablet,Credit Card,False,False,Planned,No Preference,14,Solid customer,235
36,Female,High,Divorced,High School,Middle,Office Supplies,383.33,6,Online,3,4,2.0,Medium,Very Sensitive,1,3,,Smartphone,Credit Card,False,False,Planned,Standard,12,other,290
26,Female,High,Widowed,Bachelor's,High,Toys & Games,212.08,8,In-Store,5,5,2.0,Low,Very Sensitive,1,9,,Tablet,Credit Card,False,False,Need-based,Standard,13,At risk,380
35,Female,High,Married,Master's,High,Arts & Crafts,370.73,7,Online,3,2,1.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,False,True,Need-based,No Preference,7,other,277
39,Male,High,Divorced,Master's,Middle,Clothing,319.66,7,Mixed,4,2,1.0,High,Not Sensitive,1,10,,Desktop,Debit Card,False,False,Wants-based,Express,3,At risk,459
44,Female,Middle,Widowed,Bachelor's,High,Jewelry & Accessories,373.05,3,In-Store,3,4,0.3,Low,Not Sensitive,1,10,Medium,Tablet,Cash,False,True,Planned,Standard,7,other,434
19,Female,High,Married,Bachelor's,High,Sports & Outdoors,393.78,6,Online,3,4,1.0,Medium,Very Sensitive,0,5,Low,Tablet,Other,True,False,Need-based,No Preference,14,other,423
27,Female,High,Widowed,Master's,High,Clothing,245.04,4,Online,3,2,0.0,High,Not Sensitive,2,6,High,Tablet,Other,True,True,Need-based,Standard,10,other,170
26,Female,High,Divorced,Master's,Middle,Beauty & Personal Care,111.27,3,Online,1,3,1.0,High,Very Sensitive,2,10,,Smartphone,PayPal,False,False,Impulsive,No Preference,12,other,374
26,Female,High,Single,Bachelor's,Middle,Baby Products,93.29,11,Online,2,2,0.0,High,Very Sensitive,0,7,Low,Tablet,Other,True,False,Impulsive,No Preference,9,Regular,301
27,Female,High,Married,High School,Middle,Hotels,156.5,5,Mixed,1,1,1.0,High,Very Sensitive,0,3,High,Desktop,Other,True,False,Wants-based,Standard,14,other,498
37,Male,Middle,Single,Master's,Middle,Packages),290.11,8,Mixed,4,4,1.0,Medium,Very Sensitive,1,4,Medium,Smartphone,PayPal,False,False,Impulsive,No Preference,14,other,204
23,Female,Middle,Single,Bachelor's,Middle,Software & Apps,355.28,3,Mixed,5,5,0.0,Low,Very Sensitive,1,4,Low,Smartphone,Credit Card,True,True,Planned,No Preference,5,other,247
31,other,Middle,Single,Bachelor's,High,Gardening & Outdoors,73.74,7,Online,4,2,0.3,High,Not Sensitive,1,3,Medium,Smartphone,Other,False,False,Wants-based,Standard,13,other,278
21,Female,Middle,Widowed,Master's,Middle,Sports & Outdoors,170.35,10,In-Store,2,1,1.0,Medium,Very Sensitive,1,10,Low,Desktop,Cash,True,True,Need-based,Standard,1,other,353
36,Female,High,Single,Master's,Middle,Home Appliances,123.7,6,Online,2,5,0.0,High,Very Sensitive,1,5,,Smartphone,Other,False,False,Impulsive,Express,2,other,298
21,Female,Middle,Single,Master's,High,Gardening & Outdoors,201.6,9,In-Store,1,4,2.0,Medium,Very Sensitive,1,4,High,Smartphone,PayPal,False,False,Impulsive,Express,14,Regular,210
27,Female,Middle,Single,Master's,High,Furniture,116.14,11,Mixed,1,4,1.0,High,Somewhat Sensitive,0,8,Medium,Desktop,Credit Card,False,True,Wants-based,Express,14,At risk,416
29,Female,Middle,Single,Master's,High,Jewelry & Accessories,483.38,9,Online,2,1,0.0,High,Somewhat Sensitive,2,3,High,Desktop,Other,False,True,Need-based,Standard,8,Solid customer,347
24,Male,Middle,Single,High School,Middle,Health Supplements,418.62,9,In-Store,1,2,0.0,Low,Not Sensitive,0,9,,Smartphone,Other,True,False,Need-based,Standard,11,Solid customer,189
33,Female,Middle,Divorced,Bachelor's,Middle,Books,139.83,12,Online,2,4,2.0,,Not Sensitive,0,1,,Tablet,Cash,False,False,Impulsive,Express,10,other,226
38,Female,High,Married,Master's,Middle,Arts & Crafts,54.17,4,Mixed,4,5,0.0,Medium,Somewhat Sensitive,2,2,Medium,Desktop,Credit Card,False,True,Planned,No Preference,7,other,497
47,Male,High,Divorced,Master's,High,Jewelry & Accessories,437.59,10,In-Store,1,4,0.0,,Very Sensitive,0,4,High,Tablet,Credit Card,True,True,Impulsive,Express,9,Can't lose,451
32,Male,Middle,Widowed,Bachelor's,High,Hotels,113.57,5,Online,4,4,2.0,Medium,Very Sensitive,1,1,High,Tablet,Cash,False,True,Wants-based,Standard,8,other,202
21,other,High,Single,High School,High,Packages),305.54,6,In-Store,3,5,0.0,Medium,Somewhat Sensitive,0,5,Medium,Smartphone,Other,True,False,Wants-based,No Preference,7,At risk,420
23,Female,High,Divorced,High School,High,Food & Beverages,339.12,2,In-Store,4,4,0.0,Medium,Not Sensitive,0,5,Low,Smartphone,PayPal,False,False,Impulsive,No Preference,1,other,500
45,other,Middle,Divorced,Bachelor's,High,Jewelry & Accessories,323.4,11,Mixed,2,3,2.0,Low,Very Sensitive,0,8,,Smartphone,Credit Card,True,True,Need-based,Standard,10,Can't lose,449
24,other,Middle,Married,High School,Middle,Clothing,472.61,9,In-Store,5,5,2.0,,Very Sensitive,1,4,,Smartphone,PayPal,True,True,Impulsive,Express,5,Solid customer,249
20,Female,Middle,Widowed,High School,Middle,Furniture,68.02,10,Online,3,2,1.0,,Very Sensitive,1,6,,Tablet,Credit Card,True,True,Need-based,Express,6,Regular,202
27,Male,High,Single,Master's,Middle,Toys & Games,199.44,7,Online,2,1,2.0,,Very Sensitive,0,3,,Tablet,Cash,False,True,Need-based,Standard,1,other,312
47,Male,High,Divorced,High School,Middle,Sports & Outdoors,250.73,4,Online,3,2,1.0,Low,Somewhat Sensitive,1,10,,Desktop,Cash,False,True,Planned,No Preference,10,other,393
34,Male,Middle,Single,High School,Middle,Clothing,372.49,12,Online,4,3,0.0,High,Very Sensitive,0,5,Medium,Desktop,Debit Card,True,False,Planned,No Preference,7,Solid customer,273
41,Male,High,Widowed,High School,High,Books,186.85,2,Online,3,1,2.0,High,Not Sensitive,2,8,Low,Smartphone,Other,True,False,Impulsive,Express,12,other,457
26,Male,High,Widowed,Master's,Middle,Sports & Outdoors,73.32,10,In-Store,5,1,1.0,,Not Sensitive,1,1,Medium,Smartphone,Debit Card,True,False,Wants-based,Standard,14,At risk,481
49,Male,Middle,Widowed,Bachelor's,Middle,Clothing,214.59,6,Online,1,1,0.0,,Somewhat Sensitive,1,8,Low,Tablet,Other,True,False,Wants-based,Standard,9,other,468
47,Female,Middle,Widowed,High School,Middle,Furniture,467.32,12,In-Store,4,4,2.0,Medium,Somewhat Sensitive,2,4,Low,Smartphone,PayPal,False,True,Need-based,No Preference,11,Can't lose,480
18,Male,Middle,Married,Master's,Middle,Travel & Leisure (Flights,475.65,4,In-Store,4,5,0.0,High,Somewhat Sensitive,2,6,Low,Smartphone,PayPal,True,True,Wants-based,Express,14,other,333
48,Female,Middle,Widowed,Master's,High,Animal Feed,161.38,11,Mixed,5,3,0.0,,Very Sensitive,1,10,High,Tablet,Debit Card,True,True,Impulsive,Standard,10,other,275
19,Male,Middle,Single,Bachelor's,Middle,Baby Products,249.78,4,In-Store,5,4,0.0,Low,Very Sensitive,0,1,,Desktop,PayPal,False,False,Wants-based,No Preference,11,other,179
39,Female,Middle,Divorced,High School,High,Clothing,149.88,9,Mixed,3,2,0.0,Low,Somewhat Sensitive,1,10,Low,Smartphone,Debit Card,False,False,Impulsive,Standard,4,At risk,398
48,Female,High,Divorced,Master's,Middle,Jewelry & Accessories,347.09,5,In-Store,5,2,0.0,Medium,Somewhat Sensitive,2,1,,Smartphone,Other,False,False,Planned,No Preference,7,At risk,482
43,Female,High,Widowed,Master's,High,Health Care,345.49,9,Mixed,3,1,2.0,High,Not Sensitive,0,10,Medium,Tablet,PayPal,True,False,Impulsive,Express,3,Solid customer,258
31,Female,High,Divorced,Bachelor's,High,Health Care,297.24,2,Mixed,1,4,0.0,Medium,Not Sensitive,0,9,High,Desktop,PayPal,True,True,Planned,Express,7,other,327
28,Female,Middle,Divorced,Bachelor's,High,Home Appliances,494.34,12,Online,5,3,0.25,High,Very Sensitive,1,8,Low,Desktop,Debit Card,False,False,Wants-based,Express,3,Can't lose,445
29,other,Middle,Married,Master's,High,Animal Feed,443.52,5,In-Store,5,3,0.0,,Somewhat Sensitive,0,7,Low,Tablet,Cash,True,False,Need-based,Standard,9,other,377
